A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V
97.3,0.181,0.307,0.291,0.26,0.351,0.301,0.258,0.29,0.566,0.277,0.102,0.161,0.177,0.181,0.133,0.128,0.13,0.134,0.125,0.099,Sai
97.41,0.183,0.311,0.294,0.262,0.357,0.305,0.262,0.293,0.569,0.278,0.105,0.163,0.18,0.183,0.134,0.131,0.133,0.135,0.125,0.102,Sai
97.31,0.179,0.307,0.292,0.26,0.351,0.302,0.256,0.292,0.566,0.275,0.102,0.162,0.177,0.179,0.132,0.128,0.13,0.134,0.125,0.1,Sai
97.14,0.177,0.301,0.286,0.262,0.349,0.297,0.254,0.288,0.561,0.275,0.101,0.158,0.174,0.177,0.13,0.126,0.13,0.13,0.122,0.099,Sai
97.4,0.178,0.308,0.293,0.263,0.351,0.302,0.257,0.291,0.558,0.268,0.101,0.162,0.176,0.178,0.132,0.128,0.13,0.134,0.124,0.099,Sai
97.34,0.178,0.307,0.292,0.266,0.355,0.303,0.258,0.292,0.57,0.278,0.103,0.162,0.175,0.178,0.133,0.129,0.132,0.134,0.124,0.099,Sai
97.22,0.18,0.307,0.292,0.267,0.356,0.303,0.259,0.292,0.58,0.29,0.104,0.161,0.175,0.18,0.132,0.129,0.131,0.133,0.123,0.099,Sai
97.39,0.183,0.312,0.296,0.269,0.36,0.309,0.261,0.292,0.579,0.29,0.104,0.163,0.176,0.183,0.134,0.132,0.134,0.135,0.125,0.101,Sai
97.23,0.178,0.304,0.289,0.264,0.35,0.3,0.254,0.29,0.571,0.283,0.1,0.16,0.174,0.178,0.13,0.126,0.13,0.131,0.122,0.099,Sai
97.34,0.178,0.307,0.293,0.263,0.355,0.303,0.257,0.294,0.568,0.276,0.103,0.161,0.175,0.178,0.133,0.129,0.13,0.134,0.124,0.099,Sai
97.28,0.178,0.307,0.29,0.263,0.356,0.304,0.258,0.29,0.573,0.285,0.103,0.157,0.173,0.178,0.132,0.129,0.131,0.133,0.124,0.099,Sai
97.43,0.18,0.31,0.293,0.264,0.358,0.306,0.26,0.292,0.574,0.287,0.105,0.162,0.175,0.18,0.134,0.131,0.133,0.135,0.125,0.099,Sai
97.43,0.181,0.311,0.295,0.265,0.359,0.307,0.259,0.295,0.579,0.287,0.103,0.162,0.176,0.181,0.134,0.131,0.134,0.135,0.125,0.101,Sai
97.41,0.179,0.31,0.293,0.263,0.357,0.305,0.259,0.294,0.573,0.28,0.104,0.162,0.176,0.179,0.133,0.13,0.132,0.135,0.125,0.099,Sai
97.45,0.18,0.309,0.293,0.26,0.355,0.304,0.259,0.295,0.567,0.274,0.103,0.162,0.177,0.18,0.133,0.13,0.133,0.135,0.125,0.102,Sai
97.3,0.18,0.31,0.293,0.263,0.357,0.305,0.26,0.295,0.57,0.275,0.103,0.163,0.178,0.18,0.134,0.131,0.133,0.135,0.125,0.1,Sai
97.34,0.178,0.308,0.292,0.261,0.355,0.303,0.257,0.291,0.565,0.277,0.102,0.162,0.176,0.178,0.133,0.129,0.131,0.135,0.125,0.1,Sai
97.17,0.178,0.304,0.289,0.257,0.35,0.3,0.255,0.288,0.555,0.269,0.101,0.162,0.176,0.178,0.131,0.128,0.13,0.134,0.124,0.099,Sai
97.2,0.181,0.311,0.293,0.261,0.355,0.303,0.258,0.291,0.563,0.272,0.102,0.163,0.179,0.181,0.133,0.129,0.13,0.134,0.124,0.099,Sai
97.2,0.178,0.302,0.287,0.253,0.349,0.298,0.253,0.284,0.557,0.275,0.101,0.159,0.175,0.178,0.13,0.128,0.13,0.132,0.123,0.099,Sai
97.22,0.178,0.301,0.286,0.254,0.347,0.298,0.252,0.288,0.56,0.276,0.102,0.158,0.174,0.178,0.129,0.127,0.13,0.131,0.123,0.099,Sai
97.26,0.179,0.307,0.29,0.256,0.351,0.303,0.255,0.288,0.561,0.278,0.103,0.161,0.175,0.179,0.133,0.128,0.13,0.133,0.123,0.099,Sai
97.18,0.179,0.303,0.289,0.255,0.35,0.3,0.255,0.288,0.563,0.28,0.101,0.162,0.175,0.179,0.13,0.127,0.13,0.131,0.123,0.099,Sai
97.23,0.179,0.303,0.288,0.255,0.35,0.299,0.256,0.288,0.562,0.276,0.1,0.161,0.177,0.179,0.131,0.128,0.13,0.134,0.124,0.099,Sai
97.25,0.18,0.307,0.291,0.256,0.353,0.303,0.258,0.29,0.564,0.275,0.103,0.161,0.177,0.18,0.133,0.128,0.13,0.134,0.123,0.099,Sai
97.14,0.179,0.303,0.287,0.256,0.351,0.3,0.254,0.286,0.561,0.277,0.101,0.161,0.176,0.179,0.132,0.128,0.13,0.132,0.123,0.099,Sai
97.21,0.179,0.307,0.29,0.258,0.352,0.303,0.256,0.29,0.568,0.279,0.103,0.16,0.176,0.179,0.133,0.128,0.13,0.134,0.125,0.099,Sai
97.28,0.179,0.308,0.291,0.257,0.355,0.304,0.256,0.29,0.568,0.281,0.102,0.161,0.176,0.179,0.133,0.128,0.13,0.135,0.125,0.099,Sai
97.09,0.177,0.298,0.283,0.257,0.35,0.299,0.253,0.286,0.573,0.289,0.101,0.156,0.17,0.177,0.13,0.127,0.13,0.131,0.121,0.098,Sai
97.16,0.179,0.302,0.287,0.256,0.352,0.301,0.256,0.289,0.569,0.282,0.102,0.159,0.175,0.179,0.132,0.128,0.13,0.132,0.123,0.099,Sai
97.1,0.179,0.302,0.289,0.262,0.355,0.304,0.255,0.29,0.578,0.29,0.102,0.16,0.174,0.179,0.132,0.128,0.13,0.132,0.123,0.099,Sai
97.15,0.179,0.308,0.293,0.262,0.356,0.304,0.258,0.29,0.564,0.274,0.1,0.161,0.177,0.179,0.134,0.13,0.131,0.135,0.124,0.099,Sai
97.14,0.179,0.302,0.286,0.257,0.35,0.299,0.252,0.288,0.572,0.285,0.101,0.16,0.175,0.179,0.131,0.128,0.13,0.132,0.123,0.099,Sai
97.13,0.178,0.301,0.286,0.255,0.35,0.299,0.255,0.285,0.561,0.276,0.101,0.159,0.172,0.178,0.129,0.127,0.13,0.131,0.123,0.099,Sai
97.27,0.174,0.303,0.287,0.261,0.351,0.3,0.255,0.288,0.567,0.281,0.101,0.156,0.17,0.174,0.13,0.128,0.13,0.132,0.123,0.099,Sai
97.34,0.18,0.307,0.291,0.261,0.355,0.305,0.258,0.289,0.572,0.283,0.104,0.161,0.176,0.18,0.133,0.128,0.13,0.134,0.125,0.099,Sai
97.26,0.182,0.31,0.292,0.263,0.357,0.304,0.257,0.295,0.574,0.282,0.102,0.162,0.177,0.182,0.133,0.128,0.13,0.134,0.123,0.099,Sai
97.28,0.184,0.308,0.292,0.264,0.357,0.305,0.259,0.293,0.582,0.29,0.104,0.162,0.177,0.184,0.134,0.13,0.13,0.135,0.124,0.099,Sai
97.09,0.178,0.301,0.285,0.254,0.348,0.297,0.251,0.285,0.556,0.272,0.099,0.158,0.173,0.178,0.129,0.126,0.13,0.131,0.122,0.098,Sai
97.1,0.179,0.303,0.287,0.255,0.35,0.299,0.254,0.29,0.562,0.276,0.102,0.161,0.175,0.179,0.129,0.126,0.13,0.131,0.123,0.099,Sai
97.08,0.179,0.302,0.286,0.255,0.349,0.299,0.252,0.288,0.562,0.275,0.101,0.161,0.176,0.179,0.13,0.127,0.13,0.131,0.123,0.099,Sai
97.15,0.178,0.301,0.286,0.259,0.349,0.299,0.254,0.286,0.56,0.277,0.101,0.159,0.174,0.178,0.129,0.127,0.13,0.131,0.122,0.099,Sai
97.22,0.178,0.304,0.29,0.258,0.35,0.299,0.255,0.284,0.559,0.276,0.101,0.161,0.175,0.178,0.132,0.128,0.13,0.134,0.123,0.099,Sai
97.12,0.179,0.302,0.287,0.256,0.349,0.3,0.255,0.287,0.562,0.274,0.101,0.161,0.175,0.179,0.13,0.127,0.13,0.131,0.123,0.099,Sai
97.04,0.176,0.298,0.284,0.255,0.346,0.296,0.248,0.288,0.559,0.271,0.101,0.158,0.172,0.176,0.128,0.125,0.127,0.129,0.12,0.096,Sai
97.11,0.178,0.301,0.287,0.26,0.351,0.301,0.252,0.288,0.566,0.281,0.102,0.156,0.172,0.178,0.13,0.127,0.13,0.131,0.121,0.097,Sai
97.24,0.178,0.307,0.292,0.262,0.354,0.303,0.254,0.291,0.569,0.278,0.102,0.161,0.175,0.178,0.132,0.128,0.13,0.135,0.125,0.099,Sai
97.24,0.178,0.307,0.292,0.262,0.355,0.304,0.254,0.292,0.572,0.279,0.102,0.162,0.176,0.178,0.133,0.128,0.13,0.135,0.124,0.099,Sai
97.26,0.178,0.304,0.29,0.262,0.353,0.302,0.257,0.294,0.564,0.274,0.101,0.163,0.177,0.178,0.13,0.128,0.13,0.132,0.124,0.099,Sai
97.21,0.178,0.305,0.288,0.257,0.351,0.301,0.256,0.289,0.556,0.267,0.101,0.162,0.176,0.178,0.131,0.128,0.13,0.133,0.124,0.099,Sai
97.27,0.18,0.307,0.291,0.259,0.352,0.303,0.257,0.287,0.556,0.27,0.101,0.162,0.177,0.18,0.132,0.129,0.13,0.135,0.125,0.101,Sai
97.27,0.18,0.306,0.291,0.259,0.355,0.304,0.257,0.288,0.56,0.273,0.102,0.162,0.177,0.18,0.134,0.129,0.13,0.135,0.124,0.099,Sai
97.19,0.179,0.302,0.287,0.259,0.353,0.302,0.257,0.286,0.561,0.277,0.102,0.16,0.175,0.179,0.132,0.128,0.13,0.132,0.123,0.099,Sai
97.31,0.179,0.306,0.29,0.259,0.355,0.303,0.255,0.291,0.568,0.279,0.102,0.161,0.175,0.179,0.132,0.128,0.13,0.135,0.124,0.099,Sai
97.1,0.181,0.306,0.289,0.261,0.356,0.305,0.256,0.29,0.571,0.282,0.103,0.161,0.175,0.181,0.134,0.128,0.13,0.134,0.123,0.099,Sai
97.22,0.182,0.31,0.294,0.263,0.357,0.306,0.259,0.296,0.573,0.281,0.104,0.163,0.178,0.182,0.134,0.13,0.131,0.135,0.125,0.099,Sai
97.03,0.177,0.301,0.285,0.26,0.35,0.298,0.251,0.288,0.568,0.281,0.101,0.157,0.172,0.177,0.129,0.127,0.13,0.13,0.121,0.098,Sai
97.07,0.177,0.301,0.287,0.262,0.353,0.303,0.254,0.292,0.568,0.278,0.102,0.158,0.173,0.177,0.129,0.127,0.13,0.13,0.122,0.098,Sai
97.05,0.178,0.302,0.288,0.263,0.352,0.301,0.255,0.288,0.564,0.279,0.101,0.16,0.174,0.178,0.131,0.128,0.13,0.131,0.123,0.099,Sai
97.07,0.175,0.301,0.285,0.261,0.347,0.298,0.251,0.288,0.568,0.281,0.097,0.157,0.171,0.175,0.129,0.127,0.13,0.131,0.122,0.099,Sai
97.11,0.178,0.304,0.288,0.261,0.352,0.301,0.253,0.292,0.576,0.285,0.101,0.16,0.175,0.178,0.131,0.128,0.13,0.131,0.123,0.099,Sai
97.21,0.178,0.307,0.29,0.262,0.355,0.303,0.256,0.291,0.572,0.283,0.102,0.161,0.174,0.178,0.132,0.128,0.13,0.132,0.123,0.099,Sai
97.09,0.179,0.302,0.288,0.263,0.353,0.303,0.256,0.287,0.561,0.276,0.102,0.161,0.175,0.179,0.132,0.128,0.13,0.132,0.123,0.099,Sai
97.05,0.178,0.305,0.289,0.261,0.354,0.303,0.254,0.292,0.57,0.279,0.101,0.159,0.175,0.178,0.131,0.128,0.13,0.131,0.123,0.099,Sai
97.12,0.179,0.305,0.289,0.259,0.351,0.3,0.256,0.29,0.565,0.276,0.101,0.161,0.175,0.179,0.131,0.128,0.13,0.131,0.123,0.099,Sai
97.05,0.171,0.298,0.283,0.258,0.348,0.298,0.249,0.286,0.561,0.275,0.1,0.154,0.17,0.171,0.129,0.125,0.128,0.13,0.12,0.098,Sai
97.09,0.179,0.3,0.284,0.257,0.35,0.299,0.255,0.284,0.557,0.273,0.101,0.16,0.175,0.179,0.13,0.128,0.13,0.131,0.122,0.098,Sai
97.06,0.179,0.305,0.29,0.263,0.354,0.303,0.255,0.291,0.574,0.285,0.103,0.159,0.174,0.179,0.133,0.129,0.13,0.131,0.123,0.098,Sai
97.09,0.18,0.304,0.289,0.262,0.355,0.306,0.258,0.289,0.557,0.271,0.102,0.164,0.178,0.18,0.133,0.129,0.13,0.134,0.124,0.099,Sai
97.01,0.178,0.303,0.288,0.261,0.351,0.301,0.252,0.292,0.574,0.283,0.101,0.158,0.174,0.178,0.132,0.128,0.13,0.133,0.123,0.099,Sai
97.02,0.173,0.3,0.286,0.26,0.35,0.298,0.249,0.29,0.563,0.275,0.1,0.159,0.174,0.173,0.13,0.127,0.13,0.131,0.122,0.098,Sai
97.13,0.178,0.305,0.289,0.263,0.355,0.303,0.255,0.289,0.566,0.279,0.101,0.161,0.176,0.178,0.132,0.128,0.13,0.134,0.124,0.099,Sai
97.05,0.179,0.302,0.287,0.26,0.351,0.301,0.257,0.292,0.569,0.277,0.102,0.161,0.175,0.179,0.13,0.128,0.13,0.131,0.123,0.099,Sai
97.08,0.178,0.302,0.287,0.259,0.351,0.299,0.253,0.29,0.559,0.272,0.101,0.159,0.174,0.178,0.129,0.128,0.13,0.131,0.123,0.099,Sai
97.07,0.178,0.301,0.286,0.257,0.35,0.3,0.253,0.288,0.559,0.272,0.102,0.161,0.175,0.178,0.129,0.127,0.13,0.131,0.123,0.098,Sai
97.21,0.178,0.303,0.288,0.259,0.353,0.302,0.255,0.29,0.564,0.277,0.104,0.162,0.175,0.178,0.132,0.128,0.13,0.132,0.123,0.099,Sai
97.27,0.179,0.308,0.291,0.262,0.357,0.305,0.259,0.29,0.563,0.275,0.104,0.161,0.176,0.179,0.134,0.129,0.13,0.134,0.123,0.099,Sai
97.2,0.178,0.304,0.29,0.262,0.355,0.302,0.256,0.291,0.566,0.276,0.102,0.161,0.177,0.178,0.132,0.128,0.13,0.133,0.123,0.099,Sai
97.2,0.178,0.303,0.288,0.261,0.353,0.302,0.254,0.29,0.56,0.272,0.101,0.162,0.176,0.178,0.132,0.128,0.13,0.132,0.123,0.099,Sai
97.2,0.18,0.305,0.29,0.259,0.355,0.303,0.255,0.29,0.565,0.278,0.102,0.162,0.176,0.18,0.133,0.128,0.13,0.135,0.124,0.099,Sai
97.2,0.178,0.303,0.288,0.259,0.354,0.303,0.256,0.29,0.56,0.273,0.103,0.162,0.176,0.178,0.132,0.128,0.13,0.132,0.123,0.099,Sai
97.22,0.178,0.303,0.287,0.257,0.351,0.302,0.252,0.29,0.569,0.281,0.102,0.157,0.173,0.178,0.129,0.128,0.13,0.131,0.123,0.099,Sai
97.15,0.178,0.301,0.286,0.257,0.351,0.3,0.253,0.291,0.572,0.282,0.101,0.16,0.175,0.178,0.129,0.127,0.13,0.131,0.123,0.099,Sai
97.19,0.18,0.306,0.29,0.259,0.353,0.303,0.257,0.293,0.572,0.282,0.103,0.162,0.177,0.18,0.132,0.128,0.13,0.133,0.123,0.099,Sai
97.1,0.18,0.306,0.29,0.26,0.354,0.303,0.258,0.291,0.563,0.274,0.104,0.162,0.177,0.18,0.132,0.128,0.13,0.131,0.123,0.098,Sai
97.21,0.178,0.305,0.29,0.258,0.352,0.302,0.254,0.29,0.559,0.272,0.102,0.162,0.176,0.178,0.132,0.128,0.13,0.135,0.124,0.099,Sai
97.2,0.179,0.307,0.29,0.261,0.354,0.303,0.255,0.29,0.567,0.278,0.102,0.162,0.175,0.179,0.132,0.128,0.13,0.135,0.124,0.099,Sai
97.1,0.179,0.301,0.286,0.256,0.351,0.3,0.253,0.288,0.562,0.277,0.102,0.161,0.175,0.179,0.13,0.128,0.13,0.131,0.123,0.099,Sai
97.11,0.178,0.301,0.286,0.256,0.349,0.297,0.253,0.288,0.556,0.272,0.102,0.159,0.175,0.178,0.128,0.126,0.13,0.13,0.123,0.099,Sai
97.14,0.178,0.302,0.286,0.258,0.349,0.3,0.253,0.285,0.561,0.277,0.103,0.16,0.175,0.178,0.13,0.128,0.13,0.131,0.123,0.099,Sai
97.2,0.178,0.303,0.287,0.256,0.349,0.299,0.253,0.286,0.557,0.269,0.102,0.159,0.174,0.178,0.13,0.128,0.13,0.131,0.123,0.099,Sai
97.11,0.178,0.301,0.286,0.256,0.348,0.298,0.252,0.284,0.551,0.268,0.101,0.158,0.173,0.178,0.129,0.127,0.13,0.131,0.123,0.099,Sai
97.06,0.178,0.3,0.285,0.255,0.347,0.297,0.256,0.284,0.548,0.268,0.101,0.158,0.173,0.178,0.129,0.126,0.13,0.131,0.123,0.099,Sai
97.14,0.178,0.301,0.286,0.256,0.35,0.299,0.252,0.286,0.564,0.277,0.103,0.158,0.172,0.178,0.129,0.128,0.13,0.131,0.123,0.099,Sai
97.12,0.178,0.301,0.286,0.256,0.348,0.299,0.255,0.285,0.551,0.268,0.101,0.158,0.174,0.178,0.129,0.126,0.13,0.131,0.123,0.099,Sai
97.15,0.179,0.307,0.291,0.258,0.353,0.302,0.256,0.287,0.559,0.272,0.104,0.162,0.175,0.179,0.133,0.128,0.13,0.133,0.123,0.099,Sai
97.17,0.178,0.304,0.291,0.262,0.352,0.302,0.255,0.29,0.56,0.272,0.103,0.162,0.175,0.178,0.131,0.128,0.13,0.131,0.124,0.099,Sai
97.07,0.178,0.303,0.287,0.257,0.351,0.301,0.255,0.288,0.565,0.279,0.102,0.161,0.175,0.178,0.131,0.128,0.13,0.131,0.123,0.099,Sai
97.17,0.178,0.302,0.287,0.257,0.351,0.302,0.252,0.29,0.564,0.277,0.103,0.161,0.176,0.178,0.13,0.128,0.13,0.131,0.123,0.099,Sai
97.13,0.178,0.302,0.287,0.257,0.351,0.3,0.254,0.286,0.56,0.274,0.102,0.159,0.175,0.178,0.129,0.128,0.13,0.131,0.123,0.099,Sai
97.19,0.179,0.304,0.29,0.258,0.353,0.302,0.255,0.288,0.562,0.275,0.103,0.162,0.175,0.179,0.132,0.128,0.13,0.132,0.123,0.099,Sai
97.14,0.178,0.302,0.287,0.257,0.351,0.3,0.255,0.289,0.559,0.272,0.102,0.158,0.175,0.178,0.13,0.128,0.13,0.132,0.123,0.099,Sai
97.16,0.178,0.303,0.288,0.258,0.351,0.301,0.256,0.287,0.552,0.268,0.103,0.162,0.176,0.178,0.131,0.128,0.13,0.132,0.123,0.099,Sai
97.1,0.179,0.303,0.289,0.26,0.351,0.301,0.254,0.289,0.575,0.287,0.102,0.159,0.174,0.179,0.13,0.128,0.13,0.132,0.123,0.099,Sai
97.3,0.178,0.305,0.291,0.26,0.353,0.303,0.256,0.291,0.57,0.28,0.102,0.161,0.176,0.178,0.132,0.128,0.13,0.135,0.124,0.099,Sai
97.26,0.18,0.308,0.292,0.26,0.357,0.305,0.258,0.296,0.573,0.28,0.104,0.162,0.177,0.18,0.133,0.128,0.13,0.135,0.124,0.099,Sai
97.19,0.18,0.307,0.292,0.263,0.355,0.303,0.258,0.293,0.568,0.276,0.103,0.162,0.178,0.18,0.133,0.128,0.13,0.135,0.125,0.099,Sai
97.16,0.18,0.307,0.29,0.262,0.355,0.304,0.257,0.293,0.568,0.278,0.103,0.163,0.177,0.18,0.134,0.128,0.13,0.135,0.124,0.099,Sai
97.15,0.178,0.303,0.287,0.257,0.35,0.299,0.253,0.292,0.568,0.278,0.101,0.159,0.174,0.178,0.13,0.127,0.13,0.132,0.123,0.099,Sai
97.02,0.178,0.3,0.283,0.255,0.348,0.298,0.25,0.288,0.561,0.275,0.099,0.159,0.173,0.178,0.128,0.126,0.129,0.13,0.122,0.098,Sai
97.24,0.178,0.307,0.291,0.258,0.353,0.301,0.254,0.287,0.566,0.28,0.102,0.157,0.174,0.178,0.132,0.128,0.13,0.134,0.124,0.099,Sai
97.33,0.18,0.31,0.292,0.261,0.357,0.307,0.259,0.289,0.565,0.276,0.103,0.162,0.176,0.18,0.134,0.131,0.133,0.135,0.125,0.101,Sai
97.29,0.18,0.307,0.291,0.263,0.356,0.305,0.259,0.292,0.571,0.28,0.102,0.162,0.178,0.18,0.132,0.128,0.13,0.135,0.125,0.101,Sai
97.22,0.179,0.304,0.29,0.256,0.353,0.303,0.254,0.288,0.557,0.27,0.101,0.163,0.176,0.179,0.132,0.128,0.13,0.132,0.123,0.099,Sai
97.21,0.178,0.304,0.288,0.257,0.351,0.299,0.255,0.29,0.559,0.272,0.102,0.16,0.174,0.178,0.13,0.128,0.13,0.132,0.124,0.099,Sai
97.13,0.178,0.303,0.287,0.261,0.351,0.301,0.256,0.289,0.559,0.272,0.101,0.162,0.176,0.178,0.132,0.128,0.13,0.132,0.123,0.099,Sai
97.16,0.179,0.304,0.29,0.26,0.355,0.304,0.256,0.288,0.567,0.28,0.103,0.163,0.177,0.179,0.132,0.128,0.13,0.132,0.123,0.099,Sai
97.07,0.178,0.301,0.286,0.257,0.349,0.298,0.252,0.284,0.548,0.266,0.101,0.159,0.176,0.178,0.13,0.128,0.13,0.131,0.123,0.099,Sai
97.17,0.179,0.306,0.289,0.262,0.355,0.303,0.257,0.291,0.567,0.278,0.101,0.16,0.176,0.179,0.132,0.128,0.13,0.134,0.124,0.099,Sai
97.01,0.177,0.3,0.285,0.26,0.352,0.302,0.258,0.286,0.562,0.278,0.102,0.158,0.174,0.177,0.13,0.126,0.13,0.131,0.121,0.098,Sai
97.03,0.179,0.301,0.284,0.257,0.347,0.298,0.252,0.287,0.56,0.274,0.102,0.161,0.174,0.179,0.129,0.127,0.13,0.132,0.123,0.099,Sai
97.21,0.178,0.304,0.288,0.259,0.351,0.3,0.254,0.29,0.561,0.272,0.101,0.159,0.176,0.178,0.129,0.128,0.13,0.131,0.123,0.099,Sai
97.09,0.179,0.3,0.285,0.256,0.35,0.3,0.252,0.291,0.571,0.282,0.101,0.16,0.174,0.179,0.129,0.126,0.13,0.131,0.123,0.098,Sai
97.09,0.173,0.302,0.287,0.262,0.35,0.298,0.249,0.29,0.57,0.281,0.101,0.156,0.169,0.173,0.128,0.127,0.13,0.13,0.12,0.098,Sai
97.21,0.178,0.306,0.29,0.263,0.355,0.303,0.254,0.289,0.57,0.284,0.101,0.162,0.175,0.178,0.133,0.128,0.13,0.135,0.124,0.099,Sai
97.07,0.178,0.299,0.284,0.258,0.349,0.298,0.252,0.287,0.563,0.278,0.101,0.159,0.174,0.178,0.129,0.128,0.13,0.131,0.123,0.099,Sai
97.03,0.179,0.304,0.288,0.261,0.354,0.303,0.255,0.287,0.569,0.282,0.103,0.158,0.174,0.179,0.132,0.127,0.13,0.132,0.123,0.099,Sai
97.27,0.179,0.307,0.29,0.258,0.353,0.304,0.257,0.287,0.559,0.273,0.101,0.161,0.175,0.179,0.132,0.128,0.13,0.135,0.124,0.099,Sai
97.09,0.179,0.303,0.287,0.257,0.351,0.301,0.256,0.287,0.56,0.273,0.102,0.161,0.177,0.179,0.132,0.128,0.13,0.132,0.123,0.099,Sai
97.06,0.177,0.299,0.283,0.255,0.348,0.297,0.251,0.284,0.553,0.271,0.1,0.158,0.173,0.177,0.128,0.126,0.129,0.13,0.122,0.098,Sai
97.01,0.177,0.299,0.283,0.256,0.35,0.299,0.253,0.288,0.562,0.277,0.1,0.159,0.174,0.177,0.128,0.125,0.129,0.13,0.12,0.096,Sai
97.09,0.178,0.304,0.288,0.257,0.353,0.302,0.255,0.291,0.57,0.28,0.102,0.159,0.174,0.178,0.128,0.126,0.13,0.13,0.121,0.097,Sai
97.2,0.178,0.304,0.288,0.258,0.353,0.303,0.257,0.289,0.554,0.269,0.101,0.16,0.177,0.178,0.131,0.128,0.13,0.133,0.123,0.099,Sai
97.17,0.176,0.301,0.286,0.257,0.35,0.3,0.253,0.284,0.554,0.272,0.101,0.158,0.174,0.176,0.129,0.126,0.13,0.131,0.123,0.099,Sai
97.24,0.174,0.302,0.287,0.259,0.351,0.301,0.255,0.288,0.57,0.282,0.102,0.157,0.171,0.174,0.132,0.128,0.13,0.132,0.123,0.099,Sai
97.23,0.178,0.303,0.287,0.258,0.351,0.301,0.255,0.285,0.559,0.275,0.101,0.158,0.173,0.178,0.132,0.128,0.13,0.132,0.123,0.099,Sai
97.15,0.179,0.304,0.288,0.261,0.351,0.301,0.256,0.287,0.563,0.279,0.103,0.161,0.175,0.179,0.132,0.128,0.13,0.133,0.123,0.099,Sai
97.15,0.178,0.305,0.289,0.26,0.354,0.304,0.256,0.29,0.572,0.285,0.103,0.161,0.175,0.178,0.133,0.128,0.13,0.132,0.123,0.099,Sai
97.15,0.178,0.303,0.286,0.259,0.35,0.3,0.252,0.29,0.562,0.276,0.099,0.159,0.174,0.178,0.13,0.128,0.13,0.131,0.123,0.099,Sai
97.02,0.178,0.303,0.289,0.261,0.35,0.299,0.253,0.291,0.573,0.284,0.101,0.159,0.173,0.178,0.129,0.127,0.13,0.13,0.121,0.098,Sai
97.11,0.182,0.308,0.293,0.264,0.356,0.305,0.259,0.297,0.577,0.282,0.103,0.161,0.177,0.182,0.134,0.13,0.131,0.135,0.124,0.099,Sai
97.12,0.178,0.302,0.287,0.257,0.351,0.301,0.254,0.286,0.565,0.28,0.101,0.158,0.174,0.178,0.129,0.128,0.13,0.131,0.123,0.099,Sai
97.05,0.178,0.301,0.286,0.258,0.351,0.299,0.256,0.289,0.559,0.271,0.101,0.159,0.176,0.178,0.13,0.127,0.13,0.132,0.123,0.099,Sai
97.24,0.18,0.31,0.292,0.257,0.356,0.304,0.257,0.296,0.573,0.276,0.104,0.164,0.178,0.18,0.132,0.128,0.13,0.135,0.125,0.099,Sai
97.19,0.178,0.305,0.289,0.261,0.354,0.302,0.257,0.29,0.559,0.273,0.103,0.162,0.176,0.178,0.131,0.128,0.13,0.133,0.123,0.099,Sai
97.02,0.178,0.3,0.284,0.256,0.35,0.3,0.252,0.289,0.566,0.277,0.101,0.16,0.176,0.178,0.129,0.127,0.13,0.131,0.123,0.099,Sai
97.1,0.179,0.306,0.289,0.257,0.354,0.303,0.256,0.289,0.566,0.279,0.102,0.16,0.174,0.179,0.132,0.128,0.13,0.132,0.123,0.099,Sai
97.14,0.178,0.303,0.287,0.256,0.35,0.299,0.254,0.286,0.557,0.272,0.101,0.16,0.176,0.178,0.132,0.128,0.13,0.132,0.123,0.099,Sai
97.03,0.18,0.305,0.289,0.26,0.353,0.303,0.258,0.289,0.566,0.28,0.102,0.161,0.175,0.18,0.133,0.128,0.13,0.135,0.124,0.099,Sai
97.15,0.178,0.303,0.286,0.258,0.351,0.299,0.255,0.29,0.56,0.272,0.101,0.162,0.175,0.178,0.131,0.128,0.13,0.132,0.123,0.099,Sai
97.22,0.18,0.309,0.291,0.261,0.357,0.304,0.258,0.293,0.569,0.277,0.104,0.161,0.177,0.18,0.134,0.129,0.13,0.135,0.124,0.099,Sai
97.19,0.178,0.306,0.29,0.261,0.353,0.303,0.254,0.29,0.568,0.277,0.101,0.161,0.176,0.178,0.132,0.128,0.13,0.135,0.125,0.1,Sai
97.16,0.179,0.306,0.29,0.263,0.352,0.302,0.255,0.289,0.565,0.278,0.102,0.161,0.175,0.179,0.133,0.128,0.13,0.135,0.124,0.099,Sai
97.17,0.178,0.305,0.291,0.261,0.352,0.302,0.257,0.293,0.563,0.273,0.101,0.162,0.176,0.178,0.132,0.128,0.13,0.135,0.124,0.099,Sai
97.15,0.178,0.303,0.288,0.256,0.35,0.299,0.253,0.29,0.557,0.269,0.101,0.162,0.175,0.178,0.129,0.127,0.13,0.132,0.123,0.099,Sai
97.02,0.179,0.302,0.286,0.256,0.349,0.298,0.253,0.289,0.556,0.27,0.101,0.161,0.176,0.179,0.129,0.127,0.13,0.13,0.122,0.097,Sai
97.05,0.179,0.302,0.286,0.256,0.35,0.3,0.255,0.288,0.557,0.272,0.101,0.162,0.176,0.179,0.129,0.127,0.13,0.131,0.123,0.098,Sai
97.14,0.18,0.305,0.29,0.258,0.353,0.303,0.256,0.287,0.553,0.267,0.102,0.162,0.178,0.18,0.132,0.128,0.13,0.132,0.123,0.099,Sai
